timestamp,elapsed_s,Thrust LC A (TLCA) tared (lbf),Thrust LC B (TLCB) tared (lbf),Thrust LC C (TLCC) tared (lbf),Thrust Combined (lbf),PT0 Chamber (psi),PT1 LOX Sol Upstream (psi),PT2 LOX Tank Upstream (psi),PT4 LOX Tank Downstream (psi),PT5 LOX Manifold (psi),PT11 Fuel Sol Upstream (psi),PT12 Fuel Tank Upstream (psi),PT14 Fuel Tank Downstream (psi),PT15 Fuel Engine Manifold (psi),PT31 Muscle Bus (psi),PT32 Purge Bus (psi),PT21 LOX Venturi Inlet (psi),PT22 LOX Venturi Throat (psi),PT24 Fuel Venturi Inlet (psi),PT23 Fuel Venturi Throat (psi),PT3 LOX BangBang (psi),PT13 Fuel BangBang (2000psi) (psi),LOX Tank Bottom (degF),LOX Tank Top (degF),Dragon (LOX Inj) (degF),Venturi (degF),DC1 LOX BangBang (state),DC2 Fuel BangBang (state),DC3 LOX Vent (state),DC4 Fuel Vent (state),DC5 LOX Fill (state),DC6 Pneumatics Purge (state),DC7 LOX Run Valve (state),DC8 Fuel Run Valve (state),DC9 Fuel GN2 Purge (state),DC10 LOX GN2 Purge (state),DC11 LOX Dump (GOX purge) (state)
2026-04-24T18:22:52.811Z,-530.0000,0.531,-0.610,-0.028,-0.107,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.387,612.037,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.821Z,-529.9900,0.531,-0.534,0.884,0.881,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.390,612.037,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.831Z,-529.9800,0.531,-0.382,0.732,0.881,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.392,612.037,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.841Z,-529.9700,0.531,-0.230,0.580,0.881,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.394,612.037,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.851Z,-529.9600,0.531,-0.078,0.428,0.881,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.396,612.036,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.861Z,-529.9500,0.531,0.074,0.276,0.881,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.396,612.030,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.871Z,-529.9400,0.531,0.226,0.124,0.881,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.396,612.024,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.881Z,-529.9300,0.531,0.378,-0.028,0.881,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.396,612.018,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.891Z,-529.9200,-0.115,0.378,-0.028,0.235,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.396,612.013,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
2026-04-24T18:22:52.901Z,-529.9100,0.265,0.378,-0.028,0.615,0.706,4286.735,372.363,523.322,0.213,4411.406,587.913,590.073,0.001,0.129,221.711,524.246,522.662,590.873,590.463,532.396,612.007,-276.14,-208.34,83.27,-189.10,0,0,0,0,1,1,0,0,0,0,0
